                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.7054,                 6.0087,                   3.27,                0.00769,                0.58795,                 0.0122,                0.00378,                 2.5566,                 3.5944,                 1.9915,             5.9622e-05,             5.9622e-05,             5.9622e-05
                      2,                 2.1159,                 3.8113,                 1.8494,                0.05229,                0.22379,                0.05237,                0.02748,                 1.6489,                 2.7593,                 1.3637,             0.00010748,             0.00010748,             0.00010748
                      3,                  1.609,                 2.9631,                 1.4457,                0.13672,                0.38537,                0.15046,                0.08018,                 1.6342,                 2.3345,                  1.311,             0.00014352,             0.00014352,             0.00014352
                      4,                  1.469,                 2.5073,                 1.3308,                 0.2157,                0.50891,                0.25121,                0.15249,                 1.3848,                 2.0094,                 1.1821,             0.00012584,             0.00012584,             0.00012584
                      5,                 1.4192,                 2.2306,                 1.2869,                 0.2943,                0.60125,                0.35686,                0.21259,                 1.4022,                  1.804,                 1.1755,             0.00012584,             0.00012584,             0.00012584
                      6,                 1.3885,                 1.9989,                 1.2632,                0.37939,                0.65126,                0.46426,                0.29168,                 1.3081,                 1.6212,                 1.1436,             0.00010812,             0.00010812,             0.00010812
                      7,                 1.3699,                 1.8317,                 1.2455,                0.46102,                0.66969,                0.54979,                0.33925,                 1.3705,                 1.4751,                 1.1557,             9.0395e-05,             9.0395e-05,             9.0395e-05
                      8,                 1.3511,                 1.6914,                 1.2367,                0.55638,                0.68943,                0.65418,                 0.4073,                 1.3675,                 1.3138,                 1.1459,             7.2674e-05,             7.2674e-05,             7.2674e-05
                      9,                 1.3372,                 1.5811,                  1.227,                 0.6089,                0.71651,                0.71784,                0.43988,                 1.4011,                 1.2298,                 1.1566,             5.4953e-05,             5.4953e-05,             5.4953e-05
                     10,                 1.3298,                 1.5127,                 1.2186,                0.64694,                0.73394,                0.75479,                0.47288,                 1.3496,                 1.1596,                 1.1334,             3.7232e-05,             3.7232e-05,             3.7232e-05
